AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
7091.856529,353.113106,113252103,1,20,13,252,103,17,SI,15,15,0,15,0,16,63,3,5,15,11,27,5,113252,113,-34.8743858988,-56.2730039055,566441.4398402805,6140645.893237632
10218.484375,404.358755,113029006,1,20,13,29,6,17,NO,24,24,0,14,10,14,41,2,4,4,4,23,6,113029,113,-34.8746979443,-56.2517931715,568379.7053049356,6140597.0182960555
11597.293997,551.922240,113252204,1,20,13,252,204,17,SI,37,37,0,36,1,40,159,4,17,44,25,69,4,113252,113,-34.8749555693,-56.274249629,566327.1312914691,6140583.543805922
10176.492188,403.489224,113027017,1,20,13,27,17,17,NO,42,42,0,37,5,37,124,4,10,14,21,61,18,113027,113,-34.8748416079,-56.2528769052,568280.5405644139,6140581.825463264
10317.632813,406.316765,113027014,1,20,13,27,14,17,NO,17,17,0,16,1,16,57,3,4,5,10,34,4,113027,113,-34.8749872306,-56.2539668074,568180.8107889907,6140566.418498303
6246.671036,324.976559,113030007,1,20,13,30,7,17,NO,42,42,0,39,3,39,149,4,21,39,23,63,3,113030,113,-34.8749850902,-56.2472070974,568798.6024094677,6140562.035250469
36635.912290,861.309387,113013003,1,20,13,13,3,17,NO,22,22,0,22,0,22,89,3,15,23,9,39,3,113013,113,-34.8751298119,-56.2839478132,565440.6491791351,6140570.597780626
12440.406250,449.016356,113030006,1,20,13,30,6,17,NO,34,34,0,32,2,32,109,4,10,15,15,55,14,113030,113,-34.8751256742,-56.2482204568,568705.8715151753,6140547.140219105
9340.545697,386.945218,113027011,1,20,13,27,11,17,NO,26,26,0,26,0,26,75,3,8,8,10,36,13,113027,113,-34.8751412535,-56.255015104,568084.8769070293,6140550.050623873
10362.923889,407.505227,113026012,1,20,13,26,12,17,NO,29,28,1,25,3,25,82,3,6,6,12,44,14,113026,113,-34.8752743274,-56.2560914669,567986.3955846071,6140536.02397663
9951.921875,399.343856,113029009,1,20,13,29,9,17,NO,45,45,0,35,10,35,100,4,12,8,10,55,15,113029,113,-34.875288932,-56.2494450359,568593.8181650408,6140529.87439632
