GID,COD_RECORRIDO,NRO_SERIE,MATERIAL,CAPACIDAD,POINT,DEMANDA_POBLACION,DEMANDA
22088,A_DU_RM_CL_09,A_09_21,Metal,2400,"-34.84380211164216,-56.23670885870698",61.4406056731152,11.1606042649
22089,A_DU_RM_CL_09,A_09_22,Metal,2400,"-34.84488649124601,-56.23459010663054",123.710379452727,5.5429001895
22091,A_DU_RM_CL_09,A_09_23,Metal,2400,"-34.84572385568603,-56.233244961857665",59.5846056024944,11.5082457756
22092,A_DU_RM_CL_09,A_09_24,Metal,2400,"-34.84603175016129,-56.23268586758815",64.0195725442721,10.7110100624
22093,A_DU_RM_CL_09,A_09_25,Metal,2400,"-34.84564006381881,-56.231460247475056",61.5913587820627,11.1332871895
10645,A_DU_RM_CL_07,40353,Metal,2400,"-34.85183389281774,-56.23645311644507",202.73105698552,3.3823840112
10651,A_DU_RM_CL_07,21741,Metal,2400,"-34.85137960876166,-56.23018948427904",111.649443847206,6.1416722026
10685,A_DU_RM_CL_07,26202,Metal,2400,"-34.85380413704522,-56.225747569701745",291.842263877315,2.3496058337
10698,A_DU_RM_CL_07,25802,Metal,2400,"-34.85458731962729,-56.229798613992486",179.389791587406,3.8224822028
10719,A_DU_RM_CL_07,686,Metal,2400,"-34.85288459709734,-56.23289923103668",113.466412348696,6.0433239363
10722,A_DU_RM_CL_07,22389,Metal,2400,"-34.85707152404884,-56.227653223108604",206.282712781416,3.3241480901
22107,A_DU_RM_CL_09,A_09_30,Metal,2400,"-34.84139515414205,-56.23713378851408",86.4523419359853,7.931702836
22104,A_DU_RM_CL_09,A_09_28,Metal,2400,"-34.84248112638315,-56.235234274996074",196.514075320437,3.4893901854
22106,A_DU_RM_CL_09,A_09_29,Metal,2400,"-34.841673680612686,-56.23664274290846",107.426088292905,6.3831262649
22110,A_DU_RM_CL_09,A_09_34,Metal,2400,"-34.83802637448528,-56.242692114436636",140.365216048463,4.8852151909
12017,G_DU_RM_CL_03,19630,Metal,2400,"-34.83344221232259,-56.21977250714503",202.259170315711,3.3902753811
11902,G_DU_RM_CL_03,2963,Plastico,3200,"-34.83925752667094,-56.21117691009376",100.654081852868,9.0834439841
11908,G_DU_RM_CL_03,24996,Plastico,3200,"-34.83509702450897,-56.20739185487791",67.9092735182748,13.4633411156
11911,G_DU_RM_CL_03,19554,Metal,2400,"-34.8338377521356,-56.21123732752873",36.9989381295112,18.5333504252
11915,G_DU_RM_CL_03,24951,Plastico,3200,"-34.83586940006878,-56.208554012162175",60.1343976817508,15.2040387787
12000,G_DU_RM_CL_03,12823,Plastico,3200,"-34.83675078590064,-56.20650942798256",58.8282973483773,15.5415974199
12015,G_DU_RM_CL_03,40293,Plastico,3200,"-34.84240900530684,-56.20475024244094",69.4004328063832,13.1740635802
12020,G_DU_RM_CL_03,28222,Metal,2400,"-34.83721964702556,-56.20888771192183",102.969573534515,6.6593874499
12027,G_DU_RM_CL_03,21929,Plastico,3200,"-34.831582324188815,-56.21332779156587",83.4282038850562,10.9589523891
12115,G_DU_RM_CL_03,40489,Metal,2400,"-34.83425449343423,-56.21365810090767",111.766462512455,6.1352419169
9832,C_DU_RM_CL_10,4986,Metal,2400,"-34.8782302156765,-56.18165346454085",112.713763364063,6.0836783836
9956,C_DU_RM_CL_10,5044,Metal,2400,"-34.878332225008855,-56.18373748830687",128.972228335095,5.3167592323
10064,C_DU_RM_CL_10,25958,Metal,2400,"-34.88117278572054,-56.18402095871963",132.032019303741,5.193545394
16461,C_DU_RM_CL_10,32319,Metal,2400,"-34.87662755108601,-56.17855921688561",33.5924634478649,20.4127418871
12564,D_DU_RM_CL_03,D_03_30,Metal,2400,"-34.85440759222522,-56.153958767035085",96.8169430920151,7.0825855869
12525,D_DU_RM_CL_03,D_03_71,Metal,2400,"-34.85365661364508,-56.14950518283552",33.5134629612304,20.4608603566
11810,D_DU_RM_CL_03,D_03_75,Metal,2400,"-34.856045459374904,-56.14572744690876",142.544071581382,4.8105422983
16941,B_DU_RM_CL_01,B_01_13,Metal,2400,"-34.89468609095128,-56.19135313338624",0.532168711713916,1288.5279999004
17205,F_DU_RM_CL_05,328,Plastico,3200,"-34.854371290950766,-56.13078342642589",82.3557298184562,11.1016648908
17207,F_DU_RM_CL_05,1224,Plastico,3200,"-34.85224253391663,-56.12911613452537",73.9166449641339,12.3691452004
8527,A_DU_RM_CL_03,S/N 148,Plastico,3200,"-34.874778543918765,-56.238604431871416",109.978316122755,8.3133270859
8530,A_DU_RM_CL_03,A_03_22,Metal,2400,"-34.87711674927249,-56.25948217365437",132.249556882257,5.1850025201
8533,A_DU_RM_CL_03,A_03_32,Metal,2400,"-34.87541276899414,-56.25363263699533",105.142432100282,6.5217654948
8536,A_DU_RM_CL_03,1316,Plastico,3200,"-34.87430329751195,-56.25167788150879",94.6278660000154,9.6619077755
